analysis_sample_rate,artist_7digitalid,artist_familiarity,artist_hotttnesss,artist_id,artist_latitude,artist_location,artist_longitude,artist_mbid,artist_mbtags,artist_mbtags_count,artist_name,artist_playmeid,artist_terms,artist_terms_freq,artist_terms_weight,audio_md5,bars_confidence,bars_start,beats_confidence,beats_start,danceability,duration,end_of_fade_in,energy,key,key_confidence,loudness,mode,mode_confidence,release,release_7digitalid,sections_confidence,sections_start,segments_confidence,segments_loudness_max,segments_loudness_max_time,segments_loudness_start,segments_pitches,segments_start,segments_timbre,similar_artists,song_hotttnesss,song_id,start_of_fade_out,tatums_confidence,tatums_start,tempo,time_signature,time_signature_confidence,title,track_7digitalid,track_id,year
22050,165270,0.5817937658450281,0.4019975433642836,b'ARD7TVE1187B99BFB1',,b'California - LA',,b'e77e51a5-4761-45b3-9847-2051f811e366',"(0,)","(0,)",b'Casual',4479,"(37,)","(37,)","(37,)",b'a222795e07cd65b7a530f1346f520649',"(83,)","(83,)","(344,)","(344,)",0.0,218.93179,0.247,0.0,1,0.736,-11.197,0,0.636,b'Fear Itself',300848,"(10,)","(10,)","(971,)","(971,)","(971,)","(971,)","(971, 12)","(971,)","(971, 12)","(100,)",0.6021199899057548,b'SOMZWCG12A8C13C480',218.932,"(688,)","(688,)",92.198,4,0.778,"b""I Didn't Mean To""",3401791,b'TRAAAAW128F429D538',0
22050,1998,0.6306300375898077,0.4174996449709784,b'ARMJAGH1187FB546F3',35.14968,"b'Memphis, TN'",-90.04892,b'1c78ab62-db33-4433-8d0b-7c8dcf1849c2',"(1,)","(1,)",b'The Box Tops',22066,"(38,)","(38,)","(38,)",b'bb9771eeef3d5b204a3c55e690f52a91',"(73,)","(73,)","(296,)","(296,)",0.0,148.03546,0.148,0.0,6,0.169,-9.843,0,0.43,b'Dimensions',300822,"(9,)","(9,)","(550,)","(550,)","(550,)","(550,)","(550, 12)","(550,)","(550, 12)","(100,)",,b'SOCIWDW12A8C13D406',137.915,"(591,)","(591,)",121.274,4,0.384,b'Soul Deep',3400270,b'TRAAABD128F429CF47',1969
22050,290021,0.4873567909281477,0.34342837829688244,b'ARKRRTF1187B9984DA',,b'',,b'7a273984-edd9-4451-9c4d-39b38f05ebcd',"(0,)","(0,)",b'Sonora Santanera',13951,"(10,)","(10,)","(10,)",b'fa329738005ca53715d9f7381a0d1fe3',"(291,)","(291,)","(291,)","(291,)",0.0,177.47546,0.282,0.0,8,0.643,-9.689,1,0.565,b'Las Numero 1 De La Sonora Santanera',514953,"(8,)","(8,)","(562,)","(562,)","(562,)","(562,)","(562, 12)","(562,)","(562, 12)","(100,)",,b'SOXVLOJ12AB0189215',172.304,"(582,)","(582,)",100.07,1,0.0,b'Amor De Cabaret',5703798,b'TRAAADZ128F9348C2E',0
22050,19072,0.6303823341467806,0.4542311565706205,b'AR7G5I41187FB4CE6C',,"b'London, England'",,b'e188a520-9cb7-4f73-a3d7-2f70c6538e92',"(3,)","(3,)",b'Adam Ant',12697,"(43,)","(43,)","(43,)",b'43cd1abd45d5a2dda16a3c65b4963bd4',"(115,)","(115,)","(462,)","(462,)",0.0,233.40363,0.0,0.0,0,0.751,-9.013,1,0.749,b'Friend Or Foe',287650,"(11,)","(11,)","(821,)","(821,)","(821,)","(821,)","(821, 12)","(821,)","(821, 12)","(100,)",,b'SONHOTT12A8C13493C',217.124,"(924,)","(924,)",119.293,4,0.0,b'Something Girls',3226795,b'TRAAAEF128F4273421',1982
22050,30973,0.6510456608317947,0.40172368550367865,b'ARXR32B1187FB57099',,b'',,b'c6903a2e-063c-4f91-a284-17b8f421be7b',"(0,)","(0,)",b'Gob',8355,"(38,)","(38,)","(38,)",b'580a8fe08ef0f1c7734b84547d7a8bc7',"(110,)","(110,)","(444,)","(444,)",0.0,209.60608,0.066,0.0,2,0.092,-4.501,1,0.371,b'Muertos Vivos',611336,"(9,)","(9,)","(673,)","(673,)","(673,)","(673,)","(673, 12)","(673,)","(673, 12)","(100,)",0.6045007385888197,b'SOFSOCN12A8C143F5D',198.699,"(887,)","(887,)",129.738,4,0.562,b'Face the Ashes',6795666,b'TRAAAFD128F92F423A',2007
22050,432935,0.5352927355118197,0.385470550555821,b'ARKFYS91187B98E58F',,b'',,b'79c403f9-5467-4f23-8426-9ca3fc60a115',"(0,)","(0,)",b'Jeff And Sheri Easter',63801,"(35,)","(35,)","(35,)",b'8ee90e90bb8714300574486f379effb5',"(210,)","(210,)","(633,)","(633,)",0.0,267.7024,2.264,0.0,5,0.635,-9.323,1,0.557,b'Ordinary Day',41838,"(13,)","(13,)","(835,)","(835,)","(835,)","(835,)","(835, 12)","(835,)","(835, 12)","(100,)",,b'SOYMRWW12A6D4FAB14',254.27,"(1266,)","(1266,)",147.782,3,0.454,b'The Moon And I (Ordinary Day Album Version)',444964,b'TRAAAMO128F1481E7F',0
22050,17970,0.5564956019129572,0.2619411773808474,b'ARD0S291187B9B7BF5',,b'Ohio',,b'56503d6d-094e-4c28-ae3d-04cc748ade5b',"(0,)","(0,)",b'Rated R',-1,"(14,)","(14,)","(14,)",b'0e574964bf7a546a39e039f6e35aa48a',"(217,)","(217,)","(217,)","(217,)",0.0,114.78159,0.096,0.0,1,0.0,-17.302,1,0.0,b'Da Ghetto Psychic',25824,"(4,)","(4,)","(481,)","(481,)","(481,)","(481,)","(481, 12)","(481,)","(481, 12)","(100,)",,b'SOMJBYD12A6D4F8557',114.782,"(434,)","(434,)",111.787,1,0.0,b'Keepin It Real (Skit)',276593,b'TRAAAMQ128F1460CD3',0
22050,21128,0.8011364469966873,0.6055071356905752,b'AR10USD1187B99F3F1',,"b'Burlington, Ontario, Canada'",,b'd89de379-665d-425c-b2e9-41b95d1edb36',"(0,)","(0,)",b'Tweeterfriendly Music',-1,"(12,)","(12,)","(12,)",b'1741d2c1bd271f10e783634f286746e2',"(103,)","(103,)","(313,)","(313,)",0.0,189.57016,0.319,0.0,4,0.0,-11.642,0,0.16,b'Gin & Phonic',8876,"(9,)","(9,)","(588,)","(588,)","(588,)","(588,)","(588, 12)","(588,)","(588, 12)","(100,)",,b'SOHKNRJ12A6701D1F8',181.023,"(626,)","(626,)",101.43,3,0.408,b'Drop of Rain',90004,b'TRAAAPK128E0786D96',0
22050,276891,0.42666785706940524,0.33227574659906806,b'AR8ZCNI1187B9A069B',,b'',,b'19d232b9-b4d7-4dc8-b259-bf65efb655b1',"(0,)","(0,)",b'Planet P Project',-1,"(24,)","(24,)","(24,)",b'eda960ea61211d980653d589e8e74c1d',"(93,)","(93,)","(381,)","(381,)",0.0,269.81832,5.3,0.0,4,0.717,-13.496,1,0.652,b'Pink World',358182,"(12,)","(12,)","(912,)","(912,)","(912,)","(912,)","(912, 12)","(912,)","(912, 12)","(100,)",0.26586104921065007,b'SOIAZJW12AB01853F1',258.99,"(1523,)","(1523,)",86.643,4,0.487,b'Pink World',3996579,b'TRAAARJ128F9320760',1984
22050,242273,0.5505136978482137,0.42270564102939107,b'ARNTLGG11E2835DDB9',,b'',,b'4d96f7d0-2f0e-4e92-ba70-a405f96f8cec',"(0,)","(0,)",b'Clp',-1,"(21,)","(21,)","(21,)",b'c76afe800148e674a30629a4686d7f9f',"(124,)","(124,)","(500,)","(500,)",0.0,266.39628,0.084,0.0,7,0.053,-6.697,0,0.473,b'Superinstrumental',692313,"(11,)","(11,)","(1406,)","(1406,)","(1406,)","(1406,)","(1406, 12)","(1406,)","(1406, 12)","(100,)",,b'SOUDSGM12AC9618304',261.747,"(1000,)","(1000,)",114.041,4,0.878,b'Insatiable (Instrumental Version)',7684249,b'TRAAAVG12903CFA543',0
